date,state,lat_1,u_1,lat_2,u_2,interjet_min
2018-05-22,double,24.75,25.39059205488725,36.5,20.03058658946644,11.35582429712469
2018-05-23,double,25.0,23.30738639831543,69.0,19.470003128051758,6.526298566298052
2018-05-24,double,23.5,21.18931943720037,71.0,26.86547990278764,0.6007899045944214
2018-05-25,double,24.5,22.664045333862305,66.75,18.465035005049273,5.019459290937944
2018-05-26,double,26.25,20.169443130493164,70.0,25.896791804920543,0.024240220134908504
2018-05-27,single,73.25,28.559453790838067,,,
2018-05-28,double,20.5,20.440891981124878,67.75,19.388262835415926,3.521415103565563
2018-05-29,double,22.5,20.15837270563299,71.25,26.532196218317207,0.9532062275843187
2018-05-30,single,24.75,23.4490554115989,,,
2018-05-31,double,22.75,24.0825533433394,71.0,20.629901365800336,-0.9957182136448947
2018-06-01,double,23.0,23.458838722922586,71.25,21.247833425348457,2.0893181562423706
2018-06-02,double,24.0,23.63477394797585,69.25,33.099200855601914,-2.0110915899276733
2018-06-03,double,24.75,22.545519395308062,69.75,37.277712388472125,-7.707875641909513
2018-06-04,double,40.75,22.970297033136543,71.0,27.53201588717374,-4.68875772302801
2018-06-05,single,25.0,21.042868527499113,,,
2018-06-06,single,25.0,18.188046195290305,,,
2018-06-07,double,38.5,17.792786164717242,57.0,15.534662506797098,7.201307600194758
2018-06-08,double,23.5,15.218186725269664,39.25,19.906752499667082,8.95497937635942
2018-06-09,single,40.75,17.390346353704278,,,
2018-06-10,single,39.5,17.423308805985883,,,
2018-06-11,single,42.5,19.11703283136541,,,
2018-06-12,single,51.25,21.971493114124645,,,
2018-06-13,double,23.5,16.408104809847746,52.25,25.74806629527699,10.157092267816717
2018-06-14,double,25.25,22.441553462635387,50.0,27.49910944158381,4.767730192704634
2018-06-15,double,25.75,24.057465293190695,52.25,29.674902135675605,3.3041234666650947
2018-06-16,double,24.25,20.356627204201438,51.5,31.101198543201793,5.132693464105779
2018-06-17,double,25.25,17.441714200106535,53.75,29.719322377985176,6.29572681947188
2018-06-18,double,27.0,16.94161068309437,55.75,31.490752480246805,2.110306826504794
2018-06-19,double,26.0,18.160986640236594,57.5,40.188017411665484,-1.6997529159892688
2018-06-20,double,27.75,18.64529713717374,59.0,32.361214897849344,0.6266889761794697
2018-06-21,double,28.25,18.426713076504793,54.25,24.81239058754661,2.195577296343717
2018-06-22,double,29.5,16.688004580411043,57.0,21.263708808205344,0.9975620074705644
2018-06-23,double,30.0,15.966062459078701,62.25,20.2299071225253,6.407127206975764
2018-06-24,double,53.75,17.15784853154963,67.5,22.238853974775836,8.084530613639139
2018-06-25,double,36.5,15.292906761169434,57.0,16.166298519481312,9.373497182672674
2018-06-26,double,35.5,17.705724369395863,66.75,22.690939122980293,7.56613133170388
2018-06-27,double,36.5,16.617416035045277,65.0,28.87191356312145,2.1392905061895195
2018-06-28,double,36.5,19.115297664295543,66.25,23.49093315818093,2.364353375001387
2018-06-29,double,34.0,17.760478973388672,72.5,15.993434385819869,-0.06672951511361382
2018-06-30,double,30.0,15.644361756064676,73.25,15.395607514814897,3.7288602048700508
2018-07-01,single,73.5,22.962580940940164,,,
2018-07-02,none,,,,,
2018-07-03,none,,,,,
2018-07-04,single,47.5,15.006758949973367,,,
2018-07-05,single,43.0,18.126656965775922,,,
2018-07-06,double,40.25,19.022934653542258,58.25,23.499359477650035,7.166448333046653
2018-07-07,double,40.25,18.496707916259766,58.75,20.0665019642223,4.542561834508723
2018-07-08,double,38.5,18.775040713223543,63.5,17.782395449551668,5.597332000732422
2018-07-09,double,37.5,17.622760599309746,74.0,19.840574645996092,7.251041412353516
2018-07-10,double,35.25,17.499559922651812,73.25,19.750975001942027,1.0626992529088801
2018-07-11,double,36.0,17.328832626342773,74.5,20.912712335586548,2.9536326581781562
2018-07-12,single,52.0,16.5391037680886,,,
2018-07-13,single,58.0,18.130679217251863,,,
2018-07-14,single,48.25,20.402706319635566,,,
2018-07-15,double,45.25,23.702356338500977,69.5,19.2153601212935,5.682758721438321
2018-07-16,double,39.75,20.789792667735707,72.75,29.05290447581898,1.9244274767962368
2018-07-17,single,39.75,17.585981022227894,,,
2018-07-18,double,40.5,18.52670634876598,61.25,15.309985507618297,3.9032263322310015
2018-07-19,double,33.75,16.492153774608266,61.75,16.092131354592063,3.7996170304038306
2018-07-20,double,35.0,16.117690433155406,62.75,18.950360384854402,5.668255632573908
2018-07-21,double,35.0,18.700748443603516,58.5,18.68949387290261,6.494304440238259
2018-07-22,double,34.5,17.260471864180133,55.0,24.741307518698953,6.631723143837669
2018-07-23,double,36.75,17.7711915102872,54.0,25.525596792047676,6.057907884771174
2018-07-24,double,36.25,18.959726160222832,55.0,20.651032881303266,9.740632664073598
2018-07-25,double,37.25,18.370777303522285,56.25,25.55954308943315,7.008079962296919
2018-07-26,double,34.0,16.878742218017578,67.25,20.012771259654652,8.217360756613992
2018-07-27,single,45.0,17.17545526677912,,,
2018-07-28,single,48.75,27.573985186490145,,,
2018-07-29,single,50.25,31.374719966541637,,,
2018-07-30,single,48.0,28.729368556629527,,,
2018-07-31,single,48.0,26.95692946694114,,,
2018-08-01,single,52.25,20.0236271944913,,,
2018-08-02,single,56.75,26.42491288618608,,,
2018-08-03,single,57.25,26.57169567454945,,,
2018-08-04,single,56.5,29.350364338267934,,,
2018-08-05,single,56.5,27.508162931962445,,,
2018-08-06,single,55.5,26.54513913934881,,,
2018-08-07,single,48.75,19.120396180586383,,,
2018-08-08,single,49.25,17.973723671653055,,,
2018-08-09,single,63.0,17.86423683166504,,,
2018-08-10,single,51.75,20.35953816500577,,,
2018-08-11,single,50.0,22.12931216846813,,,
2018-08-12,single,55.75,24.170364033092152,,,
2018-08-13,single,55.25,30.671851244839754,,,
2018-08-14,double,34.25,16.190517685630105,54.0,34.69544289328835,6.848287235606801
2018-08-15,double,35.0,19.450753472068094,55.25,31.240049015391957,6.4999848279086025
2018-08-16,double,33.5,20.102164008400656,58.0,27.58644780245694,6.095100749622691
2018-08-17,double,34.5,15.2431809685447,57.75,32.21568610451438,6.9902566996487705
2018-08-18,single,57.5,31.198964899236504,,,
2018-08-19,double,32.75,16.281590721823953,58.75,33.39859875765714,3.498068159276789
2018-08-20,double,32.75,18.201752229170367,59.0,38.502982746471055,3.4876567233692515
2018-08-21,double,31.75,16.515750018033113,57.5,38.28872507268732,4.50137675892223
2018-08-22,double,32.5,15.695094628767533,56.75,38.795717759565875,0.6125527012415908
2018-08-23,double,32.75,16.64777521653609,60.5,33.987001245672054,2.3729336911981758
2018-08-24,double,32.25,15.068252910267223,56.5,28.788129459727894,1.4880733489990234
2018-08-25,double,31.5,15.956793958490545,57.5,28.057872598821465,1.6993021856654773
2018-08-26,double,30.75,15.796378222378818,54.5,37.665806857022375,3.8999557061628862
2018-08-27,double,30.75,15.130950580943715,53.5,34.424673253839664,6.554665912281383
2018-08-28,single,51.5,23.50431997125799,,,
2018-08-29,double,33.25,16.197115377946332,51.25,23.315917101773348,3.5966880971735176
2018-08-30,double,51.75,27.48632673783736,73.0,18.845198197798297,11.337380929426713
2018-08-31,single,55.5,26.36186391657049,,,
2018-09-01,single,59.0,26.63355757973411,,,
2018-09-02,single,65.25,23.96723799272017,,,
2018-09-03,double,38.5,15.19634992426092,72.25,22.26234990900213,4.671251080252907
2018-09-04,single,74.75,17.974070412772043,,,
2018-09-05,double,38.0,17.855295701460406,68.75,18.745525360107422,8.559615828774191
2018-09-06,double,36.75,15.37446169419722,53.25,18.763498653065074,7.73395976153287
2018-09-07,double,29.75,15.724006999622691,51.75,30.535716490312055,9.244259227405895
2018-09-08,single,51.75,33.531227111816406,,,
2018-09-09,single,53.0,34.30789496681907,,,
2018-09-10,single,54.75,34.26882067593661,,,
2018-09-11,single,57.25,40.76075848666105,,,
2018-09-12,single,57.5,41.86812348799272,,,
2018-09-13,single,56.5,37.2790281122381,,,
2018-09-14,double,35.75,15.81971619345925,56.5,36.96870422363281,9.769222606312145
2018-09-15,single,55.75,38.72484623302113,,,
2018-09-16,single,54.5,34.529360337690875,,,
2018-09-17,single,58.0,30.0968768379905,,,
2018-09-18,single,50.5,29.448651400479402,,,
2018-09-19,single,50.0,37.437429601495914,,,
2018-09-20,single,49.0,38.68316511674361,,,
2018-09-21,single,50.5,38.31416702270508,,,
2018-09-22,single,53.75,45.644262140447445,,,
2018-09-23,single,53.0,44.31047890403054,,,
2018-09-24,double,22.25,15.181929414922541,55.0,35.80910041115501,-8.129589167508213
2018-09-25,double,22.75,16.762527639215644,61.0,33.774511163884945,-1.942319024692882
2018-09-26,double,20.75,19.231506559583877,61.75,48.81136148626154,-0.9505107023499229
2018-09-27,double,21.5,22.68800163269043,60.0,45.16908125443892,-8.687029578469016
2018-09-28,double,21.75,23.071814797141336,57.25,32.649228529496625,-4.028581922704523
2018-09-29,double,24.25,23.677995334972035,59.0,45.16868036443537,-3.6922897642309014
2018-09-30,single,58.75,42.55497082796964,,,
2019-05-01,double,23.25,40.43431784889915,43.25,21.04322485490279,14.138668060302734
2019-05-02,single,23.0,40.481658935546875,,,
2019-05-03,single,20.5,39.18027210235596,,,
2019-05-04,single,32.25,26.246483889493074,,,
2019-05-05,single,39.75,29.34656992825595,,,
2019-05-06,single,41.5,36.017176541415125,,,
2019-05-07,double,24.0,24.632712277499113,43.0,35.46813271262429,18.18730926513672
2019-05-08,double,22.25,27.160741459239613,44.5,40.82589409568093,15.771950548345393
2019-05-09,single,43.25,39.919065648859196,,,
2019-05-10,single,41.75,32.04731403697621,,,
2019-05-11,single,42.75,24.31589629433372,,,
2019-05-12,single,41.25,22.576773036609996,,,
